Preguntas,Respuestas,,
¿De qué país son originarios los huevos Fabergé?,De Rusia. En total existen 69 huevos Fabergé auténticos.,,
¿Cuál es el tipo más común de diabetes?,"La diabetes tipo II. La diabetes tipo I, conocida a veces como diabetes juvenil, es mucho menos frecuente.",,
¿Cómo se llama la fobia a los payasos?,"Coulrofobia. Aunque es cierto que es más común en los niños, también puede afectar a los adultos. Se estima que hasta el 1.2 % de los pequeños desarrollan esta fobia específica.",,
¿Quién fue el inventor de la Coca-Cola?,El farmacéutico John Stith Pemberton. Así al menos lo asegura la leyenda.,,
¿En cuál ciudad de Asia se encuentra la plaza de Tiananmen?,"El Pekín, China. La plaza es conocida por ser escenario de las protestas de 1989.",,
"¿Cuánto mide, aproximadamente, el intestino delgado de un adulto?",Tal y como nos recuerdan los expertos entre 6 y 7 metros de longitud.,,
¿Qué popular empresa tiene los derechos comerciales del tablero Ouija?,"Hasbro. Se usaba como una herramienta para ligar y, después, como un juguete para niños.",,
¿Cuál es el primer color que se menciona en la Biblia?,El verde. Se menciona en el “Génesis” cuando se describe la creación del mundo.,,
¿Qué cosas componen mayoritariamente el polvo del hogar?,"Piel muerta, ácaros, restos de insectos, caspa de las mascotas, cabellos, arena y suciedad. Es por esto que la limpieza del hogar es un método efectivo para prevenir la alergia.",,
¿Cuál es el país más pequeño del mundo?,"Ciudad del Vaticano, con 0,44 kilómetros cuadrados y un promedio de 1000 habitantes (varía constantemente).",,
¿En qué año fue quemada Juana de Arco?,En 1431. Fue acusada de brujería a los 19 años y sentenciada a la hoguera por la inquisición en Ruán.,,
¿Cuáles son los cinco colores de los anillos olímpicos?,"Azul, negro, rojo, amarillo y verde. Representan un aspecto de los cinco continentes. Sin duda, se trata de una de las preguntas de cultura general cuya respuesta está a plena vista, pero que suele ser ignorada.",,
¿De qué país es originario el cóctel mojito?,"De Cuba. Existen muchas variaciones del cóctel, como por ejemplo el mojito blanco de México o el mojito de toronja de Perú.",,
¿De qué está hecho el sake japonés?,De la fermentación de arroz y agua. También se usa una porción del hongo koji.,,
¿Cuál es el verdadero nombre de David Bowie?,David Robert Jones.,,
¿Cuál es la pintura más cara vendida hasta la actualidad?,"Hasta el momento de escribir estas líneas Salvator Mundi, de Leonardo da Vinci, con 450,3 millones de dólares, es la pintura más cara vendida en el mundo.",,
¿Cuál es el nombre del cabo que se encuentra en la punta del continente africano?,Cabo de Buena Esperanza. Fue avistado por primera vez en 1488 por el portugués Bartolomé Díaz.,,
¿En qué año publicó Newton su Principia?,"En 1687. Entre otras cosas, en ella se describen sus tres famosas leyes del movimiento. Se considera la obra científica más importante de todos los tiempos.",,
¿En qué año Alejandro Magno conquistó Egipto?,En el 332 a. C.,,
¿En dónde se encuentra el monte Fuji?,En Japón. Su altitud es de 3776 metros.,,
¿Cuál era la misión del Proyecto Manhattan?,Desarrollar las primeras armas nucleares. Los bombardeos de Nagasaki e Hiroshima se produjeron como consecuencia.,,
¿De dónde es originario el croissant?,"De Austria. Contrario a lo que se piensa, su origen no es francés. Otra de las preguntas de cultura general más engañosas.",,
¿En qué año murió Freddy Mercury?,En 1991. La causa de muerte oficial fue una bronconeumonía complicada por el sida.,,
¿Qué animal provoca más muertes al año en todo el mundo?,"El mosquito. Transmiten virus y bacterias que ocasionan miles de muertes en todo el mundo. De hecho, y de acuerdo con los expertos, a estos últimos patógenos son a los que se le deben atribuir dicho título, ya que el mosquito es solo el vector.",,
 ¿Cuál es la luna más grande de Saturno?,"Titán. Su superficie es rocosa, con hielo y con lagos de hidrocarburos líquidos. Los científicos consideran a Titán como uno de los posibles candidatos para la vida dentro del Sistema Solar.",,
 ¿Cuántas zonas horarias tiene Rusia?,"Ya hemos estipulado en preguntas de cultura general anteriores que Rusia es el país más grande del mundo. Debido a esto, en el país conviven 11 husos horarios.",,
 ¿Cuántas franjas tiene la bandera de Estados Unidos?,Un total de 13. 7 rojas y 6 blancas alternadas.,,
 ¿Cuál país tiene la mayor cantidad de islas en su territorio?,"Suecia, con más de 260 mil islas. La mayoría de ellas están deshabitadas.",,
 ¿Cuál es la cordillera más larga del mundo?,"La Cordillera de Los Andes, en América del Sur.",,
 ¿Cómo le llaman los locales a la Ciudad de Nueva York?,"Gotham, en especial cuando se pone en sol. También tiene otro apodos como la Gran Manzana, Empire State y la Ciudad que Nunca Duerme.",,
 ¿Cuántas teclas tiene un piano?,88 teclas: 52 blancas y 36 negras.,,
 ¿En qué año y ciudad se celebraron los primeros Juegos Olímpicos modernos?,"En 1896, en Atenas, Grecia. Oficialmente se conocieron como los Juegos de la I Olimpiada.",,
 ¿En qué año se fundó Netflix?,"En 1997. No fue hasta 2016 que empezó a ofrecer sus servicios de streaming alrededor de todo el mundo (salvo algunas excepciones, como China).",,
 ¿Cuál fue la primera película de Disney?,"Blancanieves y los 7 enanitos (1937). Aunque hoy es considerada un clásico del cine, en su momento casi lleva a la bancarrota a la compañía.",,
 ¿Cuántos huesos tiene un adulto promedio?,206 huesos. Este número contrasta con los 300 huesos con los cuales nacen los bebés.,,
 ¿Cuál es el álbum musical más vendido en la historia?,"Thriller, de Michael Jackson. Se lanzó a finales de 1982 y vendió más de 65 millones de copias.",,
 ¿Cuál es la película más taquillera de la historia?,"Avatar, de James Cameron, con más de 2900 millones de dólares en taquilla considerando las reediciones. El segundo puesto lo ocupa Avengers: Endgame, de Anthony Russo y Joe Russo, con cerca de 2800 millones de dólares.",,
 ¿En qué año se inventó la imprenta?,"En 1440, de la mano de Gutenberg. La imprenta ya se conocía en China, pero Gutenberg mejoró la técnica permitiendo su masificación.",,
 ¿Cuál es el animal más rápido del planeta?,"El halcón peregrino. La máxima velocidad registrada es de 389,46 kilómetros por hora.",,
 ¿Cuál es la videoconsola más vendida en la historia?,"La PlayStation 2, de Sony. Se estima que se vendieron cerca de 160 millones de unidades en todo el mundo. Una de las preguntas de cultura general que resultarán pan comido para los fanáticos de los videojuegos.",,
 ¿Cuál es el primer elemento de la tabla periódica?,"El hidrógeno. Debido a ello es el más común de todo el Universo, con cerca del 70 % de los átomos que lo conforman. En el planeta Tierra solo se encuentra en combinación con otros elementos ya que, al ser muy ligero, se escapa hacia el espacio.",,
 ¿Quién descubrió la penicilina?,"Alexander Fleming. Como se ha comentado muchas veces, el descubrimiento fue accidental.",,
 ¿Qué mecanismo produce las auroras boreales?,"Cuando las partículas cargadas del sol impactan con la magnetósfera (campo magnético) y luego interactúan con las partículas de la atmósfera. La disposición del campo magnético hace que las partículas se desvíen hacia los polos. Por ello, se habla de aurora boreal (Polo Norte) y aurora austral (Polo Sur).",,
 ¿Qué tipo de antibiótico es eficaz para eliminar a los virus?,"Ninguno, los antibióticos no son eficaces para tratar infecciones virales. Su uso indiscriminado ha llevado a la resistencia a los antibióticos.",,
 ¿Cuál es la capital más septentrional del mundo?,Reikiavik. En ella habitan poco más de 120 mil personas.,,
 ¿Qué trabajo le valió a Einstein el Nobel de Física?,"Sus aportes acerca del efecto fotoeléctrico, en 1921. Einstein no recibió el Nobel por sus trabajos sobre la relatividad, contrario a lo que se piensa.",,
 ¿Cuál es el idioma más antiguo de Europa que aún se sigue usando?,"El euskera. Aunque se debate su origen, existe un consenso entre los lingüistas y filólogos de considerarlo el idioma más antiguo de Europa que se mantiene vivo.",,
 ¿Qué cosa se lleva el récord como lo más caro del mundo?,La antimateria. Se estima que 1 gramo de antimateria tiene un precio de 62 mil millones de dólares. La antimateria se aniquila en cuanto entra en contacto con la materia que conocemos.,,
 ¿Las arañas son insectos?,"No, son arácnidos. A este grupo también pertenecen los escorpiones y los ácaros. La fobia hacia ellos se conoce como aracnofobia (abarca a todos ellos, no solo a las arañas).",,
 ¿Qué animal contagió a los humanos de peste negra?,La pulga. Las ratas solo eran vectores.,,
 ¿Hace cuánto tiempo se extinguieron los dinosaurios?,"Hace unos 65 millones de años, en promedio. Aún se debaten las causas, aunque el impacto de un meteorito es una de las hipótesis con mayor aceptación.",,
 ¿Cuál es la galaxia más cercana a la Vía Láctea?,"Andrómeda. Se estima que está a unos 2,5 millones de años luz. Es decir, tardaríamos en llegar 2,5 millones de años en una hipotética nave que viajase a la velocidad de la luz.",,
 ¿A qué país pertenece administrativamente Groenlandia?,"Dinamarca, aunque cuenta con cierta autonomía.",,
 ¿Cuál es el término médico para el mal aliento?,Halitosis.,,
 ¿Cuál es el youtuber con mayor número de suscriptores?,"PewDiePie, con más de 111 millones de suscriptores. El canal con más suscriptores (operado por una compañía) es T-Series con más de 227 millones.",,
 ¿Cuál es el órgano más grande del cuerpo humano?,"La piel. Está compuesta por tres capas: epidermis, dermis e hipodermis.",,
 ¿Cuáles eran las 7 maravillas del mundo antiguo?,"El Faro de Alejandría, el Coloso de Rodas, los Jardines de Babilonia, el Templo de Artemisa, la Gran Pirámide de Giza, la Estatua de Zeus en Olimpia y el Mausoleo de Halicarnaso.",,
 ¿Cuáles son las 7 maravillas de la actualidad?,"El Taj Mahal, la Gran Muralla China, Petra, Chichen Itzá, el Coliseo de Roma, el Cristo Redentor y Machu Picchu.",,
 ¿Cuántos colores se pueden apreciar al ver un arcoíris?,"Bajo las condiciones correctas se pueden apreciar 7 colores: rojo, naranja, amarillo, verde, cian, añil y violeta.",,
 ¿Cuál se considera la primera civilización del mundo?,"La civilización sumeria. Florecieron en torno al 3100 a. C, en Oriente Medio.",,
 ¿Cuál es el idioma oficial de Estados Unidos?,"No existe un idioma oficial establecido por la constitución, enmiendas o diferentes estatutos legales. Las dos lenguas más habladas en el país son el inglés, con unos 220 millones; y el español, con casi 50 millones.",,
 ¿Cuál fue el juego en el que apareció por primera vez el personaje de Mario?,Donkey Kong (1981). Super Mario Bros no apareció hasta 1985.,,
 ¿En qué lugar se ha registrado la temperatura más baja del planeta?,"En la Antártida, con unos -110,9°C en 2016.",,
 ¿Cuál es el videojuego más vendido de la historia?,"Minecraft, con unas 200 millones de copias vendidas (en promedio). Otra de las preguntas de cultura general fáciles para los gamers.",,
 ¿Cómo se llama en geometría al triángulo que tiene sus tres lados y ángulos iguales?,Triángulo equilátero.,,
 ¿Quién fue el último zar de Rusia?,Nicolás II. Fue destronado como consecuencia de la Revolución de Octubre.,,
 ¿Quién fue el primero en afirmar que la Tierra gira alrededor del sol?,"Aristarco de Samos, en torno al siglo III a. C.",,
 ¿En qué año cayó el Imperio Romano de Occidente?,En el 476 d. C. El Imperio Romano de Oriente cayó a mediados de 1453.,,
 ¿A quién intento nombrar cónsul Calígula?,"De acuerdo con fuentes de la época, a su caballo Incitatus. No hay registro de que así lo hiciere, de manera que es más un mito que un dato real histórico.",,
 ¿Cuál era la capital de la República Federal Alemana?,Bonn.,,
 ¿En qué parte del cuerpo se produce la insulina?,Se produce en el páncreas.,,
 ¿Cuál animal posee más corazones?,Una lombriz de tierra común tiene 10 corazones.,,
 ¿Cuál es la ciudad del mundo con mayor cantidad de población?,"Tokio, Japón. Cuenta con más de 37 millones de habitantes (si contamos las prefecturas adyacentes).",,
 ¿Cuántas sílabas forman un haikú?,"Un haikú está compuesto por tres versos carentes de rima de 5, 7 y 5 sílabas.",,
 ¿Cuántos dientes puede llegar a tener un adulto?,"Contando a las muelas del juicio, un total de 32 dientes.",,
 ¿Cuál es la capital de Canadá?,"Ottawa. Otra de las preguntas de cultura general que genera más respuestas erróneas. Muchos piensan que es Toronto, Montreal o Vancouver.",,
 ¿Cuál es el lagarto más grande del mundo?,"El dragón de Komodo. Son tan grandes, alrededor de 3 metros cuando son adultos, que carecen de depredadores naturales.",,
 ¿En qué año y quiénes crearon el buscador Google?,En 1997 de la mano de Larry Page y Sergey Brin. Se estima que el buscador agrupa hasta el 80 % de la cuota del mercado.,,
 ¿Cuál emperador romano legalizó el cristianismo?,"Constantino, en torno al 300 d. C.",,
 ¿En qué año se disolvió la Unión Soviética?,"Oficialmente, en diciembre de 1991.",,
 ¿A cuánto equivale pi?,"Al ser un número irracional, pi es infinito. Sus primeros diez números son 3,1415926535.",,
 ¿Cuál es la lengua más hablada del mundo por nativos?,"El chino mandarín, con más de 1200 millones de hablantes.",,
 ¿Cuál es la velocidad de la luz?,"La velocidad exacta es de 299,792,458 kilómetros por segundo. Esa es al menos su máxima velocidad (la que puede alcanzar en el espacio, por ejemplo).",,
 ¿Cuál era el nombre clave de la batalla de Normandía durante la Segunda Guerra Mundial?,Opreacion Overlord.,,
 ¿En qué país se encuentra el Taj Mahal?,"En India, en concreto en Agra.",,
 ¿Qué cosa era el Concorde?,En su momento fue el primer avión supersónico en usarse de manera comercial. Un vuelo de París a Nueva York lo hacía en solo 3 horas.,,
 ¿Quién mató a Aquiles en la mitología griega?,"Paris, luego de acertarle una flecha en su talón.",,
 ¿Cuál es la universidad más antigua que aún está en funcionamiento?,"La Universidad de Al Qarawiyying, fundada en el 859 en Marruecos.",,
 ¿Cuál es la temperatura más alta que se ha registrado en el planeta?,"En septiembre de 2021 la American Meteorological Society publicó un informe en el que se registraba 80,8ºC en el desierto de Lut (Irán) y en el desierto de Sonora (México).",,
 ¿Qué nombre recibe la época geológica en la que nos encontramos actualmente?,"Oficialmente Holoceno, aunque algunos investigadores usan el término Antropoceno.",,
 ¿Cuál es el animal más venenoso en todo el mundo?,Se piensa que la avispa de mar es el animal más venenoso en el mundo.,,
 ¿Cuándo fue la última era glacial?,La Glaciación Würm finalizó hace unos 10 000 años. La mitad de América del Norte y Europa estuvieron cubiertas de hielo.,,
 ¿Cuáles países están separados por el Estrecho de Bering?,Rusia y Estados Unidos. Hoy el estrecho los separa por unos 80 kilómetros.,,
 ¿Cuál es la edad de la Tierra?,"Unos 4500 millones de años, aproximadamente.",,
 ¿A qué hace referencia la famosa ecuación de Albert Einstein?,Establece un paralelismo entre masa y energía. Un sistema será más masivo en la medida en que tiene más energía.,,
 ¿Por qué se dice que existen cuatro dimensiones?,"Porque a las consideraciones clásicas de alto, ancho y profundidad se le suma también el tiempo. El tiempo es la cuarta dimensión.",,
 ¿Cuál es la hormona que provoca el estrés?,"El cortisol. Si somos más precisos, y de acuerdo con los expertos, el estrés se desencadena por un desequilibrio de muchas hormonas, no solo una.",,
 ¿Cuál es la máxima profundidad que ha investigado el ser humano?,"En el mar en la Fosa de las Marianas, a casi 11 000 metros bajo la superficie. En al superficie terrestre a unos 12 000 metros, en la excavación que se conoce como Pozo de Kola.",,
 ¿Qué vegetal lleva el nombre de una ciudad europea?,Coles de Bruselas.,,
 ¿Teóricamente es posible viajar en el tiempo?,"Sí, pero solo al futuro. Hasta donde sabemos (teóricamente) no es posible viajar al pasado.",,
 ¿Quién escribió La riqueza de las naciones (1776)?,Adam Smith.,,
 ¿Cuál fue el primer metal que usó el hombre?,El cobre. Luego fue el oro y la plata. Le siguió el bronce y luego el hierro.,,
 ¿Cuál es el metal más caro del mundo?,"El rodio. Su precio es de unos 20 000 dólares por onza. Cuando leas esto, es posible que su precio sea mayor; ya que no ha dejado de aumentar en los últimos años.",,
 ¿Cómo se llama la moneda oficial de Japón?,Yen japonés.,,
 ¿Quién fue el último faraón egipcio?,Ramsés III.,,
 ¿Helsinki es la capital de qué país?,Finlandia.,,
 ¿De qué país es originario el chorizo?,De España.,,
 ¿Cuál era el nombre de la primera computadora del mundo?,ENIAC.,,
 ¿Cuántos días le toma a la luna atravesar por todas sus fases?,Un promedio de 29 días. Este tiempo se tiene como referencia en los calendarios lunares.,,
 ¿En qué año ocurrió el desastre del Hindenburg?,En mayo de 1937.,,
 ¿En qué lugar se encuentra la popular ciudad de Tombuctú?,"También conocida como Timbuktu, se encuentra en Malí.",,
 ¿En qué país se encuentra la Gran Barrera de Coral?,En la costa noreste de Australia. La barrera se extiende por más de 345 mil kilómetros.,,
 ¿Cuáles son los elementos químicos principales que componen al ser humano?,"Oxígeno, hidrógeno, nitrógeno, carbono, calcio y fósforo. Estos componen el 99 % de los elementos químicos del cuerpo.",,
 ¿Cuál es la isla más grande del Mar Caribe?,Cuba.,,
 ¿En qué país se creó la bolsa de valores?,"En Holanda, en torno al siglo XVII. Un prototipo ya se había explorado en Bélgica un par de siglos atrás.",,
 ¿Qué moneda se usaba en Alemania antes de que se estableciera el euro?,El marco.,,
 ¿Cuál rama de las matemáticas se encarga del estudio de los triángulos?,Trigonometría.,,
 ¿Qué forma describe nuestro planeta alrededor del sol?,"Una elipse. La mayoría de los planetas describen una elipse y no un círculo. De nuevo, nos topamos con otra de las preguntas de cultura general cuya respuesta por lo general es errónea por parte de los participantes.",,
 ¿Qué objeto se ha usado más a lo largo de la historia como patrón de dinero?,"Varía de acuerdo con la región, pero en general oro y plata.",,
 ¿En cuál planeta nació el personaje ficticio Superman?,Krypton.,,
 ¿Qué elementos básicos componen a una pieza musical?,"Melodía, armonía y ritmo.",,
 ¿Quién fue el último soberano inca?,Atahualpa.,,
 ¿Cuál era el nombre del cohete que llevó a los astronautas en su primera misión a la Luna?,Saturno V. La misión se denominó Apolo 11.,,
 ¿Los electrones tienen carga negativa o positiva?,Negativa. Los protones carga positiva y los neutrones carga neutra. Una de las preguntas de cultura general que toda persona debería saber.,,
 ¿Cuál es la velocidad del sonido?,"343,2 metros por segundo. Sin embargo, esta varía de acuerdo con el medio en el que se propaga y la temperatura.",,
 ¿En dónde se inventó el calendario gregoriano?,"En Salamanca, España.",,
 ¿Cuál es la flor nacional de Japón?,El cerezo. En japonés se conoce como sakura.,,
 ¿En qué año se hundió el Titanic?,1912. Las preguntas de cultura general incluyen algunas sobre el Titanic Cuando hablamos del Titanic inmediatamente se nos viene a la mente la mítica película. Esta está basada en hechos reales que vale la pena conocer.,,
 ¿Cuántas veces parpadea un adulto promedio al día?,Entre 14 000 y 19 000 veces al día (si permaneces despierto unas 16 horas).,,
 ¿Cuál es el nombre completo de la muñeca Barbie?,Bárbara Millicent Roberts. La primera en la historia se distribuyó a mediados de 1958.,,
 ¿En qué año se estrenó El Padrino?,1972.,,
 ¿Qué tan lejos puedes ver a simple vista?,"2,5 millones de años luz. La galaxia de Andrómeda es visible a simple vista en una noche despejada.",,
 ¿En qué año fue el primer viaje de The Beatles a Estados Unidos?,1964.,,
 ¿Cuál es el animal nacional de Australia?,El canguro rojo.,,
 ¿En qué año estuvo disponible la primera píldora conceptiva para mujeres?,"1960. Su distribución fue en paralelo con lo que se conoce como revolución sexual. De hecho, se le atribuye a la píldora gran parte de la responsabilidad.",,
 ¿Cuál fue la primera película que interpretó Sean Connery como James Bond?,Dr. No. La película se estrenó en 1962.,,
 ¿Cuál era el segundo nombre de Michael Jackson?,Joseph.,,
 ¿Cuánto mide una piscina olímpica?,Unos 50 metros.,,
 ¿Cuándo se estableció oficialmente el día de San Valentín como feriado?,En 1537. Se hizo durante el reinado de Enrique VIII.,,
 ¿Quién fue la primera mujer en ganar un Premio Nobel?,"No solo ganó uno, sino dos: Marie Curie.",,
 ¿Cuál es el océano más grande de la Tierra?,El océano Pacífico.,,
 ¿Cuál es la bebida elaborada más consumida en todo el mundo?,El té.,,
 ¿Quién es la única persona del Reino Unido que tiene permitido conducir sin licencia?,El rey o la reina de turno. Esto se debe a que las licencias se emiten a su nombre.,,
 ¿Quién es el deportista más laureado en la historia de los Juegos Olímpicos?,"Michael Phelps, con 19 medallas.",,
 ¿Cuál es el único alimento comestible que nunca se daña?,La miel. Se ha encontrado miel comestible en tumbas de faraones egipcios.,,
 ¿En cuánto tiempo Cortés y sus hombres tomaron el Imperio Azteca?,En un promedio de dos años. Lo hizo en coalición de nativos aborígenes.,,
 ¿En cuál país se inventó el helado?,"En China, hace unos 4000 años. Se hacía con hielo compactado, arroz, especias y leche.",,
 ¿En qué país se creó y luego exportó el queso gouda?,En Holanda.,,
 ¿Cuál fue el primer juguete que se publicitó en televisión?,"Mr. Potato Head (Señor Cara de Patata), en 1952. Su precio era de 0,98 dólares americanos. Y sí, es el mismo que puedes ver en Toy Story.",,
 ¿Qué escritor creó el personaje de Sherlock Holmes?,Arthur Conan Doyle.,,
 ¿Cuáles son los nombres de las hermanastras de Cenicienta?,Anastasia y Drizella. En el cuento original se cortan los dedos y el talón para poder encajar su pie en la zapatilla sin éxito.,,
 ¿Cuál es el continente más grande del planeta?,Asia. Lo componen un total de 48 países.,,
 ¿En qué año se fundó la Premier League?,"En 1992. Sustituyó a la Football League First Division, fundada en 1888.",,
 ¿Quién es el autor de Las crónicas de Narnia?,C. S. Lewis.,,
 ¿Qué significan las siglas S.O.S,"Oficialmente no hace referencia a nada en concreto, aunque algunos piensan que significa Save Our Ship (salven a nuestro barco) o Save Our Souls (salven a nuestras almas).",, en la señal internacional de auxilio?
 ¿En cuál país el unicornio es el animal nacional?,En Escocia.,,
 ¿En qué estado de la materia los átomos se encuentran más apretujados?,En el estado sólido.,,
 ¿De qué color es la sangre cuando está dentro de tu organismo?,Roja. Es un mito que es azul o verde y que cambia de color al entrar en contacto con el aire. Una de las preguntas de cultura general a prueba de tontos.,,
 ¿Cuántos presidentes estadounidenses fueron asesinados durante su ejercicio del poder?,"Un total de 4: Lincoln, Garfield, McKinley y Kennedy.",,
 ¿Cuántas veces Ross Geller se divorció en la popular serie Friends?,"Tres veces: de Carol, Emily y Rachel.",,
 ¿Cómo se llama el actor que da vida a la voz de Darth Vader en la saga de Star Wars?,James Earl Jones. El actor también presta su voz a Mufasa en El rey león (1994). A mediados de 2022 renunció a la posibilidad de seguir prestando su voz al personaje.,,
 ¿Qué artículo moderno se puede ver en la última temporada de Game of Thrones?,Una taza de Starbucks.,,
 ¿Cuál fue la primera película grabada en un idioma diferente al inglés en ganar la categoría de mejor película en los Óscar?,Parásitos (2019).,,
 ¿Cuánto tiempo reinó la reina Victoria?,"Desde 1837 hasta 1901, para un total de 63 años y 7 meses.",,
 ¿Quién era la diosa de la agricultura según la mitología griega?,Deméter.,,
 ¿Cómo llamaban los romanos a Escocia?,Caledonia.,,
 ¿Cómo se llamaba el barco en el que los peregrinos llegaron a Nueva Inglaterra?,El Mayflower.,,
 ¿Quién fue el primer presidente que vivió en la Casa Blanca?,John Adams. Lo hizo el 1 de noviembre de 1800.,,
 ¿Cuál fue la primera universidad fundada en Estados Unidos?,"Harvard, en 1636.",,
 ¿En qué fecha se celebra el día Mundial del Medio Ambiente?,El 5 de junio. Lo es desde 1973.,,
" ¿En qué museo se encuentra la obra original La noche estrellada, de Van Gogh?",En el Museo de Arte Moderno de Nueva York.,,
 ¿En qué año se lanzó el primer modelo de iPhone?,En 2007. Una de las preguntas de cultura general que acertará todo fanático de Apple.,,
 ¿Cuál es el hueso más fuerte y más largo del cuerpo humano?,El fémur.,,
 ¿Cuál es la sustancia natural más dura que podemos encontrar en la Naturaleza?,El diamante.,,
 ¿Cuál es la vitamina que podemos obtener al exponernos al sol?,La vitamina D.,,
 ¿Cuál es el único metal que se encuentra en estado líquido a temperatura ambiente?,El mercurio.,,
 ¿En qué año se lanzó el sistema operativo Windows XP?,En el 2001. Un de las preguntas de cultura general que no pueden errar los fanáticos de la informática.,,
 ¿En qué estado de Estados Unidos se encuentra el Monte Rushmore?,En Dakota del Sur.,,
 ¿En qué lugar se encuentra la sede la Organización Mundial de la Salud (OMS)?,"En Ginebra, Suiza. Por supuesto cuenta con sedes en todos los continentes.",,
 ¿Se conoce como Duma al parlamento de qué país?,Rusia (tanto ahora como en el pasado).,,
" Si quieres visitar la casa de Ana Frank, ¿a qué país debes ir?",A Holanda.,,
 ¿En qué país se encuentra el edificio más alto del mundo?,"En Emiratos Árabes Unidos. Aunque aún no está terminado, el Dubai Creek Tower tendrá unos 1300 metros de altura. Sin duda una de las preguntas de cultura general cuya respuesta cambiará más temprano que tarde.",,
 ¿Cuál es el único continente en el que no es posible encontrar hormigas?,"En la Antártida. Salvo esta excepción, las hormigas han conquistado a todos los contenientes.",,
 ¿Qué fruta se encuentra en la parte superior del trofeo de Wimbledon masculino?,Una piña.,,
